*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.027 -develop  JUN 30, 2022 07:20:22
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
  74 TERRAR01.SGX        74 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  75 TERRAR01.SGX        75 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  76 TERRAR01.SGX        76 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  77 TERRAR01.SGX        77 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  78 TERRAR01.SGX        78 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  79 TERRAR01.SGX        79 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  80 TERRAR01.SGX        80 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  81 TERRAR01.SGX        81 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  82 TERRAR01.SGX        82 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  83 TERRAR01.SGX        83 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  84 TERRAR01.SGX        84 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  85 TERRAR01.SGX        85 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  86 TERRAR01.SGX        86 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  87 TERRAR01.SGX        87 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  88 TERRAR01.SGX        88 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  89 TERRAR01.SGX        89 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  90 TERRAR01.SGX        90 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  91 TERRAR01.SGX        91 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  92 TERRAR01.SGX        92 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  93 TERRAR01.SGX        93 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  94 TERRAR01.SGX        94 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  95 TERRAR01.SGX        95 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  96 TERRAR01.SGX        96 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  97 TERRAR01.SGX        97 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  98 TERRAR01.SGX        98 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  99 TERRAR01.SGX        99 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 100 TERRAR01.SGX       100 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 101 TERRAR01.SGX       101 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 102 TERRAR01.SGX       102 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 103 TERRAR01.SGX       103 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 104 TERRAR01.SGX       104 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 105 TERRAR01.SGX       105 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 106 TERRAR01.SGX       106 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 107 TERRAR01.SGX       107 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
