"germplasmDbId","germplasmName","commonCropName"
"6000000842","PI505717","sorghum"
"6000000714","PI156393","sorghum"
"6000000220","PI505735","sorghum"
"6000001002","PI641836","sorghum"
"6000000894","PI563021","sorghum"
"6000000884","PI562985","sorghum"
"6000000912","PI569097","sorghum"
"6000000851","PI511355","sorghum"
"6000001055","Big_Kahuna","sorghum"
"6000000903","PI563332","sorghum"
"6000000563","PI329338","sorghum"
"6000000731","PI195754","sorghum"
"6000000552","PI302252","sorghum"
"6000000857","PI521290","sorghum"
"6000000864","PI533902","sorghum"
"6000000978","PI585467","sorghum"
"6000000827","PI330807","sorghum"
"6000000801","PI329618","sorghum"
"6000000948","PI570073","sorghum"
"6000000749","PI255744","sorghum"
"6000000572","PI329473","sorghum"
"6000000462","PI145626","sorghum"
"6000000914","PI569244","sorghum"
"6000000808","PI329699","sorghum"
"6000000976","PI585454","sorghum"
"6000000557","PI329300","sorghum"
"6000000578","PI329511","sorghum"
"6000000209","PI651495","sorghum"
"6000000469","PI152694","sorghum"
"6000000996","PI641817","sorghum"
"6000000975","PI585452","sorghum"
"6000000887","PI562994","sorghum"
"6000000799","PI329614","sorghum"
"6000000939","PI569462","sorghum"
"6000000930","PI569447","sorghum"
"6000000992","PI63715","sorghum"
"6000000715","PI156463","sorghum"
"6000001024","PI655983","sorghum"
"6000000718","PI156890","sorghum"
"6000000221","PI562730","sorghum"
"6000000705","PI155516","sorghum"
"6000000942","PI570031","sorghum"
"6000000923","PI569425","sorghum"
"6000001059","PI329605","sorghum"
"6000000941","PI569886","sorghum"
"6000000222","PI297171","sorghum"
"6000001061","PI542718","sorghum"
"6000000899","PI563295","sorghum"
"6000000911","PI569090","sorghum"
"6000000943","PI570038","sorghum"
"6000000815","PI329865","sorghum"
"6000001012","PI646251","sorghum"
"6000001000","PI641830","sorghum"
"6000001003","PI641850","sorghum"
"6000000701","PI154944","sorghum"
"6000000726","PI176766","sorghum"
"6000000935","PI569457","sorghum"
"6000000853","PI514456","sorghum"
"6000000897","PI563196","sorghum"
"6000000802","PI329632","sorghum"
"6000000470","PI152727","sorghum"
"6000000215","PI641824","sorghum"
"6000000910","PI568717","sorghum"
"6000000577","PI329510","sorghum"
"6000001057","PI534165","sorghum"
"6000000940","PI569465","sorghum"
"6000000873","PI550604","sorghum"
"6000000795","PI329570","sorghum"
"6000000713","PI156330","sorghum"
"6000000959","PI570110","sorghum"
"6000000880","PI562970","sorghum"
"6000000575","PI329501","sorghum"
"6000001022","PI655978","sorghum"
"6000000756","PI276837","sorghum"
"6000000219","PI505722","sorghum"
"6000000989","PI619838","sorghum"
"6000000858","PI524475","sorghum"
"6000000949","PI570074","sorghum"
"6000000961","PI570145","sorghum"
"6000000952","PI570085","sorghum"
"6000000879","PI562897","sorghum"
"6000000886","PI562991","sorghum"
"6000000889","PI562998","sorghum"
"6000001023","PI655981","sorghum"
"6000000915","PI569264","sorghum"
"6000000745","PI229841","sorghum"
"6000000985","PI586443","sorghum"
"6000000712","PI156326","sorghum"
"6000000693","PI152965","sorghum"
"6000000901","PI563330","sorghum"
"6000000736","PI197542","sorghum"
"6000000835","PI452692","sorghum"
"6000000559","PI329310","sorghum"
"6000001054","SP1615","sorghum"
"6000000957","PI570106","sorghum"
"6000000570","PI329466","sorghum"
"6000000921","PI569422","sorghum"
"6000001060","PI513898","sorghum"
"6000000791","PI329545","sorghum"
"6000000729","PI181080","sorghum"
"6000000216","PI641825","sorghum"
"6000000574","PI329480","sorghum"
"6000001026","PI656026","sorghum"
"6000000735","PI196598","sorghum"
"6000000694","PI152966","sorghum"
"6000000900","PI563329","sorghum"
"6000000558","PI329301","sorghum"
"6000000806","PI329665","sorghum"
"6000000906","PI563350","sorghum"
"6000000982","PI585961","sorghum"
"6000000706","PI155760","sorghum"
"6000000728","PI180348","sorghum"
"6000000841","PI455307","sorghum"
"6000000980","PI585608","sorghum"
"6000000955","PI570091","sorghum"
"6000000755","PI273969","sorghum"
"6000000474","PI152751","sorghum"
"6000000733","PI196583","sorghum"
"6000000953","PI570087","sorghum"
"6000000882","PI562981","sorghum"
"6000000833","PI452542","sorghum"
"6000000986","PI586541","sorghum"
"6000000569","PI329465","sorghum"
"6000000969","PI573193","sorghum"
"6000000690","PI152923","sorghum"
"6000000550","PI297155","sorghum"
"6000001010","PI643016","sorghum"
"6000000562","PI329333","sorghum"
"6000001062","PI534120","sorghum"
"6000000576","PI329506","sorghum"
"6000000573","PI329478","sorghum"
"6000000750","PI257599","sorghum"
"6000000567","PI329435","sorghum"
"6000001001","PI641835","sorghum"
"6000000920","PI569421","sorghum"
"6000000945","PI570047","sorghum"
"6000000960","PI570114","sorghum"
"6000000744","PI22913","sorghum"
"6000000823","PI330196","sorghum"
"6000000999","PI641829","sorghum"
"6000000738","PI213900","sorghum"
"6000000723","PI167093","sorghum"
"6000000898","PI563222","sorghum"
"6000000417","Unknown off type","sorghum"
"6000000473","PI152733","sorghum"
"6000000747","PI253986","sorghum"
"6000000872","PI540518","sorghum"
"6000000217","PI566819","sorghum"
"6000000697","PI153877","sorghum"
"6000000896","PI563032","sorghum"
"6000000979","PI585577","sorghum"
"6000000902","PI563331","sorghum"
"6000000881","PI562971","sorghum"
"6000000863","PI533792","sorghum"
"6000000917","PI569418","sorghum"
"6000001028","PI656065","sorghum"
"6000000571","PI329471","sorghum"
"6000000708","PI156178","sorghum"
"6000000947","PI570071","sorghum"
"6000000698","PI154750","sorghum"
"6000000838","PI455221","sorghum"
"6000000804","PI329645","sorghum"
"6000000711","PI156268","sorghum"
"6000001006","PI641892","sorghum"
"6000000854","PI521019","sorghum"
"6000000716","PI156487","sorghum"
"6000000824","PI330199","sorghum"
"6000000890","PI563002","sorghum"
"6000000794","PI329569","sorghum"
"6000000834","PI452619","sorghum"
"6000000964","PI570373","sorghum"
"6000000464","PI145633","sorghum"
"6000000797","PI329585","sorghum"
"6000000938","PI569460","sorghum"
"6000000837","PI455217","sorghum"
"6000000741","PI221548","sorghum"
"6000000885","PI562990","sorghum"
"6000001009","PI643008","sorghum"
"6000000561","PI329326","sorghum"
"6000000893","PI563020","sorghum"
"6000000892","PI563009","sorghum"
"6000000874","PI561840","sorghum"
"6000000688","PI152860","sorghum"
"6000000997","PI641821","sorghum"
"6000000929","PI569445","sorghum"
"6000000991","PI620157","sorghum"
"6000000931","PI569452","sorghum"
"6000000696","PI152971","sorghum"
"6000000937","PI569459","sorghum"
"6000000895","PI563022","sorghum"
"6000000814","PI329864","sorghum"
"6000000228","PI506030","sorghum"
